"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Авторизация с корректными учетными данными","tests","2026-09-19","broken","2026-09-19","","test_login","",""
"","0","test_listen_network[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_listen_network","",""
"","0","Авторизация с корректными учетными данными","tests","2026-09-19","broken","2026-09-19","","test_login","",""
"","0","test_download[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_download","",""
"","0","test_get_text[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_make_screenshot","",""
"","0","test_checkbox[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_checkbox","",""
"","0","test_drag_and_drop[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_drag_and_drop","",""
"","0","test_new_tab[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_new_tab","",""
"","0","test_get_text[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_get_text","",""
"","0","test_add_todo[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_todo","",""
"","0","test_select_multiple[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_select_multiple","",""
"","0","test_network[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_network","",""
"","0","test_select_multiple_2[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_select_multiple","",""
"","0","Авторизация с недействительными учетными данными","tests","2026-09-19","broken","2026-09-19","","test_login","",""
"","0","test_dialogs[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_dialogs","",""
"","0","test_add_user[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_inventory","",""
"","0","test_inventory[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_inventory","",""
"","0","test_get_text2[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_get_text","",""
"","0","test_select[chromium]","tests_from_course","2026-09-19","broken","2026-09-19","","test_select","",""
